issn,journal_title,oa_model,apc,year
2326-3768,Advances in Archaeological Practice,Hybrid,2835,2019
2325-5064,American Antiquity,Hybrid,2835,2019
1748-5002,Annals of Actuarial Science,Hybrid,2980,2019
2040-4719,Advances in Animal Biosciences,Hybrid,2835,2019
1932-0205,Asian Journal of Comparative Law,Hybrid,2980,2019
2059-8521,MRS Advances,Hybrid,2980,2019
2049-775X,Australian Journal of Environmental Education,Hybrid,3070,2019
2059-6464,The Aeronautical Journal,Hybrid,1402,2019
1469-5138,Journal of African History,Hybrid,3070,2019
1750-0184,Africa,Hybrid,3070,2019
1469-5146,Journal of Agricultural Science ,Hybrid,3070,2019
1475-2654,Animal Health Research Reviews,Hybrid,3070,2019
1469-1760,AI EDAM,Hybrid,3070,2019
2044-2521,Asian Journal of International Law,Hybrid,3070,2019
2059-7525,Art Libraries Journal,Hybrid,2835,2019
2052-9023,Asian Journal of Law and Society,Hybrid,3070,2019
1469-5154,Journal of American Studies,Hybrid,2980,2019
1751-732X,animal ,Hybrid,2835,2019
1365-2079,Antarctic Science,Hybrid,2835,2019
1758-5309,Antiquaries Journal,Hybrid,3070,2019
1474-0508,Acta Numerica,Hybrid,2920,2019
1446-8735,ANZIAM Journal,Hybrid,1500,2019
2053-4485,Journal of the American Philosophical Association,Hybrid,2980,2019
1471-6356,Annual Review of Applied Linguistics,Hybrid,3070,2019
1469-1817,Applied Psycholinguistics,Hybrid,3070,2019
1745-1744,Antiquity,Hybrid,1950,2019
1478-2294,Archaeological Dialogues,Hybrid,3070,2019
2059-5670,Architectural History,Hybrid,2980,2019
1474-0516,arq: Architectural Research Quarterly,Hybrid,3070,2019
1783-1350,ASTIN Bulletin: The Journal of the IAA,Hybrid,2980,2019
1474-0532,Anglo-Saxon England,Hybrid,3070,2019
1479-5922,International Journal of Asian Studies,Hybrid,3070,2019
1469-1779,Ageing & Society,Hybrid,3070,2019
1474-0524,Arabic Sciences and Philosophy,Hybrid,3070,2019
1555-2462,African Studies Review,Hybrid,2980,2019
1469-8099,Modern Asian Studies,Hybrid,3070,2019
1745-5278,Journal of Anglican Studies,Hybrid,3070,2019
1469-1787,Ancient Mesoamerica,Hybrid,3070,2019
1469-3569,Business and Politics,Hybrid,3070,2019
1755-1633,Bulletin of the Australian Mathematical Society,Hybrid,1500,2019
2152-2812,Journal of Benefit-Cost Analysis,Hybrid,2835,2019
2055-7981,British Catholic History,Hybrid,3070,2019
1474-0001,Bird Conservation International,Hybrid,3070,2019
1496-4287,Canadian Mathematical Bulletin,Hybrid,1000,2019
1469-1833,Behavioural and Cognitive Psychotherapy,Hybrid,2920,2019
2049-7768,Behaviour Change,Hybrid,2980,2019
1475-2670,Bulletin of Entomological Research,Hybrid,3070,2019
2057-0201,Business and Human Rights Journal,Hybrid,3070,2019
1469-1841,Bilingualism: Language and Cognition,Hybrid,3070,2019
1839-5252,Brain Impairment,Hybrid,2980,2019
2056-4686,BJPsych Advances,Hybrid,2060,2019
1474-001X,British Journal for the History of Science,Hybrid,2920,2019
1475-2662,British Journal of Nutrition,Hybrid,3070,2019
1472-1465,British Journal of Psychiatry,Hybrid,4635,2019
1469-2104,British Journal of Music Education,Hybrid,3070,2019
2398-0648,Behavioural Public Policy,Hybrid,3070,2019
1474-0699,Bulletin of the School of Oriental and African Studies,Hybrid,3070,2019
