ISSN,Archive accepted manuscript,Archive published version,Sherpa/Romeo colour,Sherpa/Romeo Licence,Journal,Updated
0098-7484,6 months embargo,Special conditions apply,white,,JAMA,24/11/2017,
1538-3598,6 months embargo,Special conditions apply,white,,JAMA,24/11/2017,
2380-6583,12 months embargo,Special conditions apply,white,,JAMA Cardiology,24/11/2017,
2168-6203,12 months embargo,Special conditions apply,white,,JAMA Pediatrics,24/11/2017,
2168-622X,12 months embargo,Special conditions apply,white,,JAMA Psychiatry,24/11/2017,
2168-6238,12 months embargo,Special conditions apply,white,,JAMA Psychiatry,24/11/2017,
2168-6254,12 months embargo,Special conditions apply,white,,JAMA Surgery,24/11/2017,
1465-1858,12 months embargo,cannot,yellow,,Cochrane Database of Systematic Reviews,11/08/2014,
0094-8276,can,6 months embargo,green,,Geophysical Research Letters,8/10/2018,
2169-897X,can,6 months embargo,green,,Journal of Geophysical Research: Atmospheres,8/10/2018,
2169-8996,can,6 months embargo,green,,Journal of Geophysical Research: Atmospheres,8/10/2018,
1942-2466,can,6 months embargo,green,,Journal of Advances in Modeling Earth Systems,8/10/2018,
0043-1397,can,6 months embargo,green,,Water Resources Research,8/10/2018,
1944-7973,can,6 months embargo,green,,Water Resources Research,8/10/2018,
2328-4277,can,can,green,CC-BY-NC,Earth's Future,27/10/2016,
1525-2027,can,6 months embargo,green,,"Geochemistry, Geophysics, Geosystems",8/10/2018,
2169-9313,can,6 months embargo,green,,Journal of Geophysical Research: Solid Earth,8/10/2018,
2169-9356,can,6 months embargo,green,,Journal of Geophysical Research: Solid Earth,8/10/2018,
2169-9275,can,6 months embargo,green,,Journal of Geophysical Research: Oceans,8/10/2018,
2169-9291,can,6 months embargo,green,,Journal of Geophysical Research: Oceans,8/10/2018,
2169-8953,can,6 months embargo,green,,Journal of Geophysical Research: Biogeosciences,8/10/2018,
2169-8961,can,6 months embargo,green,,Journal of Geophysical Research: Biogeosciences,8/10/2018,
2328-9503,can,can,green,CC-BY-NC-ND,Annals of Clinical and Translational Neurology,21/11/2017,
2151-464X,12 months embargo,cannot,yellow,,Arthritis Care & Research,24/11/2017,
2151-4658,12 months embargo,cannot,yellow,,Arthritis Care & Research,24/11/2017,
1616-301X,12 months embargo,cannot,yellow,,Advanced Functional Materials,24/11/2017,
1616-3028,12 months embargo,cannot,yellow,,Advanced Functional Materials,24/11/2017,
0935-9648,12 months embargo,cannot,yellow,,Advanced Materials,24/11/2017,
1521-4095,12 months embargo,cannot,yellow,,Advanced Materials,24/11/2017,
2365-709X,12 months embargo,cannot,yellow,,Advanced Materials Technologies,24/11/2017,
1614-6832,12 months embargo,cannot,yellow,,Advanced Energy Materials,24/11/2017,
1614-6840,12 months embargo,cannot,yellow,,Advanced Energy Materials,24/11/2017,
0001-1541,12 months embargo,cannot,yellow,,AIChE Journal,24/11/2017,
1547-5905,12 months embargo,cannot,yellow,,AIChE Journal,24/11/2017,
1042-0533,12 months embargo,cannot,yellow,,American Journal of Human Biology,24/11/2017,
1520-6300,12 months embargo,cannot,yellow,,American Journal of Human Biology,24/11/2017,
1552-4825,12 months embargo,cannot,yellow,,American Journal of Medical Genetics Part A,24/11/2017,
1552-4833,12 months embargo,cannot,yellow,,American Journal of Medical Genetics Part A,24/11/2017,
2193-5807,Upon funder agreement with publisher,cannot,white,,Asian Journal of Organic Chemistry,24/11/2017,
2193-5815,Upon funder agreement with publisher,cannot,white,,Asian Journal of Organic Chemistry,24/11/2017,
0002-9483,12 months embargo,cannot,yellow,,American Journal of Physical Anthropology,24/11/2017,
1096-8644,12 months embargo,cannot,yellow,,American Journal of Physical Anthropology,24/11/2017,
2042-6976,12 months embargo,cannot,yellow,,International Forum of Allergy & Rhinology,24/11/2017,
2042-6984,12 months embargo,cannot,yellow,,International Forum of Allergy & Rhinology,24/11/2017,
0044-8249,12 months embargo,cannot,yellow,,Angewandte Chemie,24/11/2017,
1521-3757,12 months embargo,cannot,yellow,,Angewandte Chemie,24/11/2017,
1433-7851,12 months embargo,cannot,yellow,,Angewandte Chemie International Edition,24/11/2017,
1521-3773,12 months embargo,cannot,yellow,,Angewandte Chemie International Edition,24/11/2017,
0021-8995,12 months embargo,cannot,yellow,,Journal of Applied Polymer Science,24/11/2017,
1097-4628,12 months embargo,cannot,yellow,,Journal of Applied Polymer Science,24/11/2017,
1052-7613,12 months embargo,cannot,yellow,,Aquatic Conservation: Marine and Freshwater Ecosystems,24/11/2017,
1099-0755,12 months embargo,cannot,yellow,,Aquatic Conservation: Marine and Freshwater Ecosystems,24/11/2017,
1932-8486,12 months embargo,cannot,yellow,,The Anatomical Record,24/11/2017,
1932-8494,12 months embargo,cannot,yellow,,The Anatomical Record,24/11/2017,
0728-4896,,,,,Archaeology in Oceania,,
2326-5191,12 months embargo,cannot,yellow,,Arthritis & Rheumatology,24/11/2017,
2326-5205,12 months embargo,cannot,yellow,,Arthritis & Rheumatology,24/11/2017,
1861-4728,12 months embargo,cannot,yellow,,Chemistry - An Asian Journal,24/11/2017,
1861-471X,12 months embargo,cannot,yellow,,Chemistry - An Asian Journal,24/11/2017,
1939-3792,12 months embargo,cannot,yellow,,Autism Research,24/11/2017,
1939-3806,12 months embargo,cannot,yellow,,Autism Research,24/11/2017,
0141-1926,18 months embargo,cannot,yellow,,British Educational Research Journal,24/11/2017,
1469-3518,18 months embargo,cannot,yellow,,British Educational Research Journal,24/11/2017,
1072-0847,12 months embargo,cannot,yellow,,Behavioral Interventions,24/11/2017,
1099-078X,12 months embargo,cannot,yellow,,Behavioral Interventions,24/11/2017,
1860-6768,12 months embargo,cannot,yellow,,Biotechnology Journal,24/11/2017,
1860-7314,12 months embargo,cannot,yellow,,Biotechnology Journal,24/11/2017,
0006-3592,12 months embargo,cannot,yellow,,Biotechnology and Bioengineering,24/11/2017,
1097-0290,12 months embargo,cannot,yellow,,Biotechnology and Bioengineering,24/11/2017,
0007-1323,12 months embargo,cannot,yellow,,British Journal of Surgery,24/11/2017,
1365-2168,12 months embargo,cannot,yellow,,British Journal of Surgery,24/11/2017,
0897-3806,12 months embargo,cannot,yellow,,Clinical Anatomy,24/11/2017,
1098-2353,12 months embargo,cannot,yellow,,Clinical Anatomy,24/11/2017,
0947-6539,12 months embargo,cannot,yellow,,Chemistry - A European Journal,24/11/2017,
1521-3765,12 months embargo,cannot,yellow,,Chemistry - A European Journal,24/11/2017,
1860-7179,12 months embargo,cannot,yellow,,ChemMedChem,24/11/2017,
1860-7187,12 months embargo,cannot,yellow,,ChemMedChem,24/11/2017,
0008-543X,12 months embargo,cannot,yellow,,Cancer,24/11/2017,
1097-0142,12 months embargo,cannot,yellow,,Cancer,24/11/2017,
2040-7939,12 months embargo,cannot,yellow,,International Journal for Numerical Methods in Biomedical Engineering,24/11/2017,
2040-7947,12 months embargo,cannot,yellow,,International Journal for Numerical Methods in Biomedical Engineering,24/11/2017,
2192-6506,12 months embargo,cannot,yellow,,ChemPlusChem,24/11/2017,
1864-5631,12 months embargo,cannot,yellow,,ChemSusChem,24/11/2017,
1864-564X,12 months embargo,cannot,yellow,,ChemSusChem,24/11/2017,
1520-7552,12 months embargo,cannot,yellow,,Diabetes/Metabolism Research and Reviews,24/11/2017,
1520-7560,12 months embargo,cannot,yellow,,Diabetes/Metabolism Research and Reviews,24/11/2017,
1051-0761,can,can,green,,Ecological Applications,2/03/2017,
1939-5582,can,can,green,,Ecological Applications,2/03/2017,
2045-7758,can,can,green,CC-BY,Ecology and Evolution,27/10/2016,
1936-0584,12 months embargo,cannot,yellow,,Ecohydrology,24/11/2017,
1936-0592,12 months embargo,cannot,yellow,,Ecohydrology,24/11/2017,
0012-9658,can,can,green,,Ecology,2/03/2017,
1939-9170,can,can,green,,Ecology,2/03/2017,
1388-9842,12 months embargo,cannot,yellow,,European Journal of Heart Failure,24/11/2017,
1879-0844,12 months embargo,cannot,yellow,,European Journal of Heart Failure,24/11/2017,
1434-1948,12 months embargo,cannot,yellow,,European Journal of Inorganic Chemistry,24/11/2017,
1099-0682,12 months embargo,cannot,yellow,,European Journal of Inorganic Chemistry,24/11/2017,
0046-2772,12 months embargo,cannot,yellow,,European Journal of Social Psychology,24/11/2017,
1099-0992,12 months embargo,cannot,yellow,,European Journal of Social Psychology,24/11/2017,
1040-0397,12 months embargo,cannot,yellow,,Electroanalysis,24/11/2017,
1521-4109,12 months embargo,cannot,yellow,,Electroanalysis,24/11/2017,
2470-9239,12 months embargo,cannot,yellow,,Epilepsia Open,24/11/2017,
0098-8847,12 months embargo,cannot,yellow,,Earthquake Engineering & Structural Dynamics,24/11/2017,
1096-9845,12 months embargo,cannot,yellow,,Earthquake Engineering & Structural Dynamics,24/11/2017,
0363-907X,12 months embargo,cannot,yellow,,International Journal of Energy Research,24/11/2017,
1099-114X,12 months embargo,cannot,yellow,,International Journal of Energy Research,24/11/2017,
0197-9337,12 months embargo,cannot,yellow,,Earth Surface Processes and Landforms,24/11/2017,
1096-9837,12 months embargo,cannot,yellow,,Earth Surface Processes and Landforms,24/11/2017,
2050-7038,12 months embargo,cannot,yellow,,International Transactions on Electrical Energy Systems,24/11/2017,
0308-0501,12 months embargo,cannot,yellow,,Fire and Materials,24/11/2017,
1099-1018,12 months embargo,cannot,yellow,,Fire and Materials,24/11/2017,
1045-2257,12 months embargo,cannot,yellow,,"Genes, Chromosomes and Cancer",24/11/2017,
1098-2264,12 months embargo,cannot,yellow,,"Genes, Chromosomes and Cancer",24/11/2017,
2042-5791,,,,,Global Strategy Journal,,
2042-5805,2 years embargo,cannot,yellow,,Global Strategy Journal,24/11/2017,
1050-9631,12 months embargo,cannot,yellow,,Hippocampus,24/11/2017,
1098-1063,12 months embargo,cannot,yellow,,Hippocampus,24/11/2017,
1059-7794,12 months embargo,cannot,yellow,,Human Mutation,24/11/2017,
1098-1004,12 months embargo,cannot,yellow,,Human Mutation,24/11/2017,
0020-7136,12 months embargo,cannot,yellow,,International Journal of Cancer,24/11/2017,
1097-0215,12 months embargo,cannot,yellow,,International Journal of Cancer,24/11/2017,
0020-7292,12 months embargo,cannot,yellow,,International Journal of Gynecology & Obstetrics,24/11/2017,
1879-3479,12 months embargo,cannot,yellow,,International Journal of Gynecology & Obstetrics,24/11/2017,
1549-3296,12 months embargo,cannot,yellow,,Journal of Biomedical Materials Research Part A,24/11/2017,
1552-4965,12 months embargo,cannot,yellow,,Journal of Biomedical Materials Research Part A,24/11/2017,
0884-0431,12 months embargo,cannot,yellow,,Journal of Bone and Mineral Research,24/11/2017,
1523-4681,12 months embargo,cannot,yellow,,Journal of Bone and Mineral Research,24/11/2017,
0021-9541,12 months embargo,cannot,yellow,,Journal of Cellular Physiology,24/11/2017,
1097-4652,12 months embargo,cannot,yellow,,Journal of Cellular Physiology,24/11/2017,
0022-5002,12 months embargo,cannot,yellow,,Journal of the Experimental Analysis of Behavior,24/11/2017,
1868-6974,12 months embargo,cannot,green,,Journal of Hepato-Biliary-Pancreatic Sciences,16/05/2014,
1868-6982,12 months embargo,cannot,green,,Journal of Hepato-Biliary-Pancreatic Sciences,16/05/2014,
0360-4012,12 months embargo,cannot,yellow,,Journal of Neuroscience Research,24/11/2017,
1097-4547,12 months embargo,cannot,yellow,,Journal of Neuroscience Research,24/11/2017,
0899-8418,12 months embargo,cannot,yellow,,International Journal of Climatology,24/11/2017,
1097-0088,12 months embargo,cannot,yellow,,International Journal of Climatology,24/11/2017,
0267-8179,12 months embargo,cannot,yellow,,Journal of Quaternary Science,24/11/2017,
1099-1417,12 months embargo,cannot,yellow,,Journal of Quaternary Science,24/11/2017,
0022-5142,12 months embargo,cannot,yellow,,Journal of the Science of Food and Agriculture,24/11/2017,
1097-0010,12 months embargo,cannot,yellow,,Journal of the Science of Food and Agriculture,24/11/2017,
0885-3185,12 months embargo,cannot,yellow,,Movement Disorders,24/11/2017,
